timeFrom,timeTo,direction,day,motorcycle,tricycle,car,lightTruck,heavyTruck,total
6,7,North to South (Straight),Friday,120,94,63,10,6,293
6,7,North to South (Straight),Monday,119,83,45,8,3,234
7,8,North to South (Straight),Friday,150,109,72,13,18,362
7,8,North to South (Straight),Monday,145,97,55,16,8,321
8,9,North to South (Straight),Friday,149,111,54,39,19,372
8,9,North to South (Straight),Monday,143,101,39,14,16,313
9,10,North to South (Straight),Friday,145,118,46,48,18,375
9,10,North to South (Straight),Monday,137,84,39,39,15,314
10,11,North to South (Straight),Friday,184,138,50,55,24,451
10,11,North to South (Straight),Monday,176,106,55,49,5,392
11,12,North to South (Straight),Friday,238,185,87,108,56,674
11,12,North to South (Straight),Monday,229,165,83,69,44,590
12,13,North to South (Straight),Friday,194,149,63,65,26,498
12,13,North to South (Straight),Monday,167,126,48,44,23,415
13,14,North to South (Straight),Friday,170,138,50,28,24,413
13,14,North to South (Straight),Monday,151,121,29,20,4,324
14,15,North to South (Straight),Friday,148,130,35,16,12,341
14,15,North to South (Straight),Monday,119,97,36,19,10,281
15,16,North to South (Straight),Friday,137,102,50,48,9,346
15,16,North to South (Straight),Monday,104,113,52,25,26,320
16,17,North to South (Straight),Friday,170,145,79,57,16,486
16,17,North to South (Straight),Monday,95,125,56,41,22,349
17,18,North to South (Straight),Friday,236,235,168,105,58,802
17,18,North to South (Straight),Monday,197,269,85,87,52,590
18,19,North to South (Straight),Friday,184,162,101,82,35,564
18,19,North to South (Straight),Monday,153,116,56,53,24,402
19,20,North to South (Straight),Friday,180,86,65,39,18,388
19,20,North to South (Straight),Monday,142,95,41,32,12,321
6,7,North to West (Right Turn to Vicentillo W),Friday,268,210,122,60,22,696
6,7,North to West (Right Turn to Vicentillo W),Monday,251,178,104,28,10,617
7,8,North to West (Right Turn to Vicentillo W),Friday,427,347,249,59,59,1226
7,8,North to West (Right Turn to Vicentillo W),Monday,399,367,230,42,43,1168
8,9,North to West (Right Turn to Vicentillo W),Friday,333,295,184,76,61,1055
8,9,North to West (Right Turn to Vicentillo W),Monday,312,322,145,65,250,987
9,10,North to West (Right Turn to Vicentillo W),Friday,269,204,165,68,62,843
9,10,North to West (Right Turn to Vicentillo W),Monday,248,273,136,63,45,835
10,11,North to West (Right Turn to Vicentillo W),Friday,306,215,188,61,46,964
10,11,North to West (Right Turn to Vicentillo W),Monday,281,227,169,58,32,899
11,12,North to West (Right Turn to Vicentillo W),Friday,458,339,260,90,62,1343
11,12,North to West (Right Turn to Vicentillo W),Monday,435,387,224,81,54,1372
12,13,North to West (Right Turn to Vicentillo W),Friday,339,313,157,70,19,1067
12,13,North to West (Right Turn to Vicentillo W),Monday,321,361,136,61,10,1038
13,14,North to West (Right Turn to Vicentillo W),Friday,239,184,107,57,38,695
13,14,North to West (Right Turn to Vicentillo W),Monday,222,165,89,45,15,631
14,15,North to West (Right Turn to Vicentillo W),Friday,167,136,66,46,38,521
14,15,North to West (Right Turn to Vicentillo W),Monday,142,110,60,40,26,464
15,16,North to West (Right Turn to Vicentillo W),Friday,183,87,84,33,39,481
15,16,North to West (Right Turn to Vicentillo W),Monday,136,79,73,26,21,409
16,17,North to West (Right Turn to Vicentillo W),Friday,160,108,91,39,31,541
16,17,North to West (Right Turn to Vicentillo W),Monday,141,99,85,32,22,486
17,18,North to West (Right Turn to Vicentillo W),Friday,508,150,126,90,84,1252
17,18,North to West (Right Turn to Vicentillo W),Monday,474,142,118,82,71,1127
18,19,North to West (Right Turn to Vicentillo W),Friday,337,96,74,42,23,839
18,19,North to West (Right Turn to Vicentillo W),Monday,298,89,69,37,16,663
19,20,North to West (Right Turn to Vicentillo W),Friday,180,49,66,14,7,263
19,20,North to West (Right Turn to Vicentillo W),Monday,188,49,142,6,2,251
6,7,South to North (Straight),Friday,103,60,36,39,5,243
6,7,South to North (Straight),Monday,112,73,36,35,5,265
7,8,South to North (Straight),Friday,136,110,64,47,11,369
7,8,South to North (Straight),Monday,116,86,55,50,3,310
8,9,South to North (Straight),Friday,155,108,60,41,2,366
8,9,South to North (Straight),Monday,138,115,69,49,6,377
9,10,South to North (Straight),Friday,140,105,81,42,7,375
9,10,South to North (Straight),Monday,150,97,66,33,9,355
10,11,South to North (Straight),Friday,117,129,64,46,11,367
10,11,South to North (Straight),Monday,149,102,66,42,8,367
